종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1672","-44","-2.56","88714714880"
"054620","APS","KOSDAQ","금융","4245","-5","-0.12","84450968145"
"265520","AP시스템","KOSDAQ","기계·장비","19760","390","2.01","297404222960"
"211270","AP위성","KOSDAQ","전기·전자","10630","-270","-2.48","160324891520"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3365","-10","-0.30","211210615135"
"083790","CG인바이츠","KOSDAQ","일반서비스","1564","48","3.17","120262500648"
"035760","CJ ENM","KOSDAQ","오락·문화","64200","700","1.10","1407851686800"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","9270","-180","-1.90","121116832740"
"051500","CJ프레시웨이","KOSDAQ","유통","25850","-250","-0.96","306880498100"
"058820","CMG제약","KOSDAQ","제약","2015","-5","-0.25","297901998745"
"056730","CNT85","KOSDAQ","건설","661","-1","-0.15","48987493946"
"065770","CS","KOSDAQ","전기·전자","822","20","2.49","15955948860"
"083660","CSA 코스믹","KOSDAQ","화학","566","11","1.98","34665904446"
"477760","DB금융스팩12호","KOSDAQ","금융","2095","0","0.00","12234800000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2420","15","0.62","38294682580"
"025440","DH오토웨어","KOSDAQ","전기·전자","722","-20","-2.70","35220043728"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","149939488590"
"241520","DSC인베스트먼트","KOSDAQ","금융","7180","0","0.00","193860000000"
"180400","DXVX","KOSDAQ","일반서비스","1863","66","3.67","91695801816"
"418620","E8","KOSDAQ","IT 서비스","2000","3","0.15","25700954000"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5670","-130","-2.24","48903591240"
"050120","ES큐브","KOSDAQ","유통","3015","-60","-1.95","40895719290"
"214270","FSN","KOSDAQ","IT 서비스","2000","40","2.04","87381918000"
"130500","GH신소재","KOSDAQ","섬유·의류","2440","10","0.41","35489926880"
"900290","GRT","KOSDAQ","금융","2895","105","3.76","234060750000"
"083450","GST","KOSDAQ","기계·장비","26400","-50","-0.19","486552000000"
"297890","HB솔루션","KOSDAQ","기계·장비","2185","-30","-1.35","159812897090"
"440290","HB인베스트먼트","KOSDAQ","금융","2160","35","1.65","59413888800"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2010","10","0.50","186358991160"
"225530","HC보광산업","KOSDAQ","비금속","2900","0","0.00","105382308300"
"060560","HC홈센타","KOSDAQ","유통","714","0","0.00","91156040850"
"195940","HK이노엔","KOSDAQ","제약","52700","500","0.96","1492985255700"
"028300","HLB","KOSDAQ","제약","48550","1650","3.52","6400497490500"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1521","26","1.74","132335424819"
"067630","HLB생명과학","KOSDAQ","제약","4025","55","1.39","490716158450"
"024850","HLB이노베이션","KOSDAQ","전기·전자","1736","42","2.48","250914690432"
"187420","HLB제넥스","KOSDAQ","제약","2885","30","1.05","84057019570"
"047920","HLB제약","KOSDAQ","일반서비스","16010","620","4.03","525117689560"
"115450","HLB테라퓨틱스","KOSDAQ","유통","3235","75","2.37","272976620805"
"046210","HLB파나진","KOSDAQ","제약","1600","51","3.29","72202748800"
"196300","HLB펩","KOSDAQ","제약","6720","390","6.16","62451634560"
"403870","HPSP","KOSDAQ","기계·장비","31300","1050","3.47","2613505178400"
"036640","HRS","KOSDAQ","화학","5430","40","0.74","88806564000"
"448760","IBKS제22호스팩","KOSDAQ","금융","4345","-335","-7.16","19248350000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2210","-15","-0.67","9348300000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2200","0","0.00","9306000000"
"095340","ISC","KOSDAQ","유통","111100","-800","-0.71","2354993143800"
"950170","JTC","KOSDAQ","유통","3820","-125","-3.17","197671049360"
"067290","JW신약","KOSDAQ","제약","1445","-13","-0.89","77128502070"
"035900","JYP Ent.","KOSDAQ","오락·문화","68300","300","0.44","2426869203600"
"318000","KBG","KOSDAQ","화학","4655","95","2.08","40685738065"
"024840","KBI메탈","KOSDAQ","금속","1717","18","1.06","59939094683"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3385","-10","-0.29","38927500000"
"455250","KB제25호스팩","KOSDAQ","금융","2105","0","0.00","9062025000"
"464680","KB제27호스팩","KOSDAQ","금융","2070","0","0.00","26713350000"
"478390","KB제29호스팩","KOSDAQ","금융","2065","0","0.00","12844300000"
