종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4775","140","3.02","216081924225"
"006840","AK홀딩스","KOSPI","기타금융","9000","10","0.11","119228049000"
"027410","BGF","KOSPI","기타금융","3970","-65","-1.61","379995660270"
"282330","BGF리테일","KOSPI","유통","109700","1400","1.29","1896044488200"
"138930","BNK금융지주","KOSPI","기타금융","15300","250","1.66","4810704856200"
"001460","BYC","KOSPI","섬유·의류","41200","550","1.35","257341380000"
"001465","BYC우","KOSPI","섬유·의류","23700","-200","-0.84","51046245000"
"001040","CJ","KOSPI","기타금융","174900","-1200","-0.68","5103056950200"
"079160","CJ CGV","KOSPI","오락·문화","6030","310","5.42","998456378670"
"00104K","CJ4우(전환)","KOSPI","기타금융","152700","-800","-0.52","645388382400"
"000120","CJ대한통운","KOSPI","운송·창고","93300","2000","2.19","2128391695200"
"011150","CJ씨푸드","KOSPI","음식료·담배","2725","-5","-0.18","97911356425"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","14220","-310","-2.13","2844000000"
"001045","CJ우","KOSPI","기타금융","87600","-400","-0.45","197995534800"
"097950","CJ제일제당","KOSPI","음식료·담배","210500","1000","0.48","3168906153000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","137700","100","0.07","182787524100"
"000480","CR홀딩스","KOSPI","비금속","4985","30","0.61","233749092650"
"000590","CS홀딩스","KOSPI","기타금융","78000","-900","-1.14","90049596000"
"012030","DB","KOSPI","IT 서비스","1449","-5","-0.34","291501028917"
"005830","DB손해보험","KOSPI","보험","127200","2700","2.17","9005760000000"
"016610","DB증권","KOSPI","증권","10480","-20","-0.19","444838156720"
"000990","DB하이텍","KOSPI","전기·전자","64500","900","1.42","2806045926000"
"000300","DH오토넥스","KOSPI","운송장비·부품","1984","0","0.00","164422234240"
"001530","DI동일","KOSPI","유통","20100","390","1.98","396558528000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","39000","-150","-0.38","817279476000"
"000215","DL우","KOSPI","화학","25750","350","1.38","43417461250"
"375500","DL이앤씨","KOSPI","건설","39600","-650","-1.61","1532267470800"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","29200","-100","-0.34","61668969200"
"37550K","DL이앤씨우","KOSPI","건설","21900","-450","-2.01","46294081500"
"007340","DN오토모티브","KOSPI","전기·전자","24200","100","0.41","1415962933000"
"004840","DRB동일","KOSPI","화학","4865","10","0.21","96959450000"
"155660","DSR","KOSPI","금속","3905","5","0.13","62480000000"
"069730","DSR제강","KOSPI","금속","3645","55","1.53","52488000000"
"017860","DS단석","KOSPI","화학","19820","350","1.80","348519081840"
"092780","DYP","KOSPI","운송장비·부품","3350","-80","-2.33","44114341000"
"017940","E1","KOSPI","유통","82000","-700","-0.85","562520000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4375","-20","-0.46","1076639375000"
"383220","F&F","KOSPI","섬유·의류","71300","-1300","-1.79","2731294447500"
"007700","F&F홀딩스","KOSPI","기타금융","20200","-400","-1.94","790110213400"
"114090","GKL","KOSPI","오락·문화","14970","460","3.17","925979379900"
"078930","GS","KOSPI","기타금융","56300","-100","-0.18","5231135781400"
"006360","GS건설","KOSPI","건설","18820","-500","-2.59","1610643641800"
"001250","GS글로벌","KOSPI","유통","2350","-40","-1.67","193954345400"
"007070","GS리테일","KOSPI","유통","21850","300","1.39","1826822017750"
"078935","GS우","KOSPI","기타금융","47550","50","0.11","84868476300"
"499790","GS피앤엘","KOSPI","기타금융","48100","2250","4.91","953863452100"
"012630","HDC","KOSPI","기타금융","17320","-110","-0.63","1034726607720"
"039570","HDC랩스","KOSPI","건설","8490","180","2.17","220380032490"
"089470","HDC현대EP","KOSPI","화학","4070","-20","-0.49","129833000000"
